source,target,relation,confidence,directed,label,source_url,slices,evidence,receipt,edge_class
discovery_source_local:ND002-003,discovery_source_local:ND002-014,collaborated_with,confirmed,yes,Hjalmar Wijk / Chris Painter,https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,all,"Interacción con empresas: Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra",https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,COLLAB
discovery_source_local:ND002-003,discovery_source_local:ND004-011,coauthored_with,confirmed,yes,Hjalmar Wijk / Tao Lin,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,all,"Tao Lin , Neev Parikh , David Rein , Lucas Jun Koba Sato , Hjalmar Wijk",https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,COLLAB
discovery_source_local:ND002-003,institution:inst-052,chief_scientist,confirmed,yes,Chief Scientist,https://metr.org/team/hjalmar-wijk/,all,Hjalmar Wijk Chief Scientist,https://metr.org/team/hjalmar-wijk/ https://metr.org/team/hjalmar-wijk/,EMPLOYMENT
discovery_source_local:ND002-003,institution:inst-052,has_role_at,confirmed,yes,The cached METR biography lists Hjalmar Wijk as Chief Scientist at METR.,https://metr.org/team/hjalmar-wijk/,all,Only selected named source passage; no cross-dossier identity merge. Source snapshot is not proof of present-tenure continuity. Institution label does not establish legal employer. Pending source-local person node cannot be canonically promoted by this edge packet. Roles and present-tense wording re,https://metr.org/team/hjalmar-wijk/,EMPLOYMENT
discovery_source_local:ND002-003,institution:inst-058,collaborated_with,confirmed,yes,Hjalmar Wijk / Redwood Research,https://www.redwoodresearch.org/research/hugging-face-incident,all,Two METR staff members (Hjalmar Wijk and Ajeya Cotra) and Redwood Research’s Chief Scientist (Ryan Greenblatt) worked on premises at OpenAI,https://www.redwoodresearch.org/research/hugging-face-incident,COLLAB
discovery_source_local:ND002-003,institution:inst-069,conducted_independent_investigation_for,confirmed,yes,Hjalmar Wijk / OpenAI,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,all,Two METR staff members (Hjalmar Wijk and Ajeya Cotra) ... worked on premises at OpenAI ... to attempt to form an independent understanding of model behavior,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,FINANCIAL
discovery_source_local:ND002-003,institution:inst-070,collaborated_with,confirmed,yes,Hjalmar Wijk / Anthropic,https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,all,"Interacción con empresas: Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra",https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,COLLAB
discovery_source_local:ND002-003,institution:inst-073,former_research_work,confirmed,yes,Former Research Work,https://metr.org/team/hjalmar-wijk/,all,He has previously worked on understanding AI risks and strategy at the Future of Humanity Institute,https://metr.org/team/hjalmar-wijk/ https://metr.org/team/hjalmar-wijk/,EMPLOYMENT
discovery_source_local:ND002-003,institution:inst-073,formerly_had_role_at,confirmed,yes,The cached METR biography describes Hjalmar Wijk’s previous work at the Future of Humanity Institute.,https://metr.org/team/hjalmar-wijk/,all,Only selected named source passage; no cross-dossier identity merge. Source snapshot is not proof of present-tenure continuity. Institution label does not establish legal employer. Pending source-local person node cannot be canonically promoted by this edge packet. Named institutional endpoint recon,https://metr.org/team/hjalmar-wijk/,EMPLOYMENT
discovery_source_local:ND002-003,institution:inst-076,contributor_to,confirmed,yes,Hjalmar Wijk / ARC Evals,https://metr.org/blog/2023-09-26-rsp/index.html,all,"author = {Beth Barnes, Hjalmar Wijk, Lawrence Chan}",https://metr.org/blog/2023-09-26-rsp/index.html,FINANCIAL
discovery_source_local:ND002-003,official_profile_source_local:metr:jasmine-dhaliwal,colleagues_at_metr,confirmed,yes,Hjalmar Wijk / Jasmine Dhaliwal,https://metr.org/about.html,all,Hjalmar Wijk — Chief Scientist ... Jasmine Dhaliwal — Policy Staff,https://metr.org/about.html,EMPLOYMENT
discovery_source_local:ND002-003,official_profile_source_local:metr:megan-kinniment,collaborated_with,confirmed,yes,Hjalmar Wijk / Megan Kinniment,https://metr.org/language-model-pilot-report/index.html,all,"Megan Kinniment, Lucas Jun Koba Sato, Haoxing Du, Brian Goodrich, Max Hasin, Lawrence Chan, Luke Harold Miles, Tao R Lin, Hjalmar Wijk",https://metr.org/language-model-pilot-report/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:alignment-research-center:ARC-P001,co_authored,confirmed,yes,Hjalmar Wijk / Paul Christiano,https://metr.org/language-model-pilot-report/index.html,all,"author={Kinniment, Megan and Koba Sato, Lucas Jun and Du, Haoxing and Goodrich, Brian and Hasin, Max and Chan, Lawrence and Miles, Luke Harold and Lin, Tao R and Wijk, Hjalmar ... Christiano, Paul}",https://metr.org/language-model-pilot-report/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:audacious-project:AP-P004,collaborated_with,confirmed,yes,Hjalmar Wijk / Beth Barnes,https://metr.org/es/blog/2023-09-26-rsp/index.html,all,"COLABORADORES Beth Barnes, Hjalmar Wijk y Lawrence Chan",https://metr.org/es/blog/2023-09-26-rsp/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:centre-for-effective-altruism:CEA-P012,co_authored_with,confirmed,yes,Hjalmar Wijk / Ben West,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,all,"Authors Thomas Kwa, Ben West, Joel Becker, Amy Deng, Katharyn Garcia, Max Hasin, Sami Jawhar, Megan Kinniment, Nate Rush, Sydney Von Arx, Ryan Bloom, Thomas Broadley, Haoxing Du, Brian Goodrich, Nikola Jurkovic, Luke Harold Miles, Seraphina Nix, Tao Lin, Neev Parikh, David Rein, Lucas Jun Koba Sato,",https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:coefficient-giving:CG-PE042,collaborated_with,confirmed,yes,Hjalmar Wijk / Holden Karnofsky,https://metr.org/blog/2023-09-26-rsp/index.html,all,Hjalmar Wijk ... [contributor]; ... Holden Karnofsky ... for help with framing and language.,https://metr.org/blog/2023-09-26-rsp/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:coefficient-giving:CG-PE043,collaborated_with,confirmed,yes,Hjalmar Wijk / Ajeya Cotra,https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,all,"Redacción: Ajeya Cotra (líder del informe), Hjalmar Wijk, Daniel Filan, Nikola Jurkovic, Charles Foster, Beth Barnes",https://metr.org/es/blog/2026-05-19-frontier-risk-report/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:far-ai:FA-P055,co_authored_with,confirmed,yes,Hjalmar Wijk / Lawrence Chan,https://metr.org/es/blog/2023-09-26-rsp/index.html,all,"COLABORADORES Beth Barnes, Hjalmar Wijk y Lawrence Chan",https://metr.org/es/blog/2023-09-26-rsp/index.html,COLLAB
discovery_source_local:ND002-003,person_source_local:redwood-research:RW-P002,collaborated_with,confirmed,yes,Hjalmar Wijk / Ryan Greenblatt,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,all,Two METR staff members (Hjalmar Wijk and Ajeya Cotra) and a Redwood Research staff member contracting with METR (Ryan Greenblatt) worked on premises at OpenAI,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,COLLAB
discovery_source_local:ND002-003,registry_source_local_person:ftx-future-fund::FTX-R211:object,collaborated_with,confirmed,yes,Hjalmar Wijk / Thomas Kwa,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,all,"Authors Thomas Kwa, Ben West, Joel Becker, Amy Deng, Katharyn Garcia, Max Hasin, Sami Jawhar, Megan Kinniment, Nate Rush, Sydney Von Arx, Ryan Bloom, Thomas Broadley, Haoxing Du, Brian Goodrich, Nikola Jurkovic, Luke Harold Miles, Seraphina Nix, Tao Lin, Neev Parikh, David Rein, Lucas Jun Koba Sato,",https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/index.html,COLLAB
discovery_source_local:ND002-004,institution:inst-019,leads_grantmaking_at,confirmed,yes,"Coefficient Giving identifies Luke Muehlhauser as Managing Director, AI Governance & International Policy, leading its grantmaking in those areas.",https://coefficientgiving.org/team/luke-muehlhauser/,all,Role at archived capture; joined 2015 is not managing-director appointment date. No new person merge; endpoints retain released source-local identities. Statement attributed to archived source; no independent current role verification. Relationship is to the named operating institution or program as,https://coefficientgiving.org/team/luke-muehlhauser/ https://coefficientgiving.org/team/luke-muehlhauser/,FINANCIAL
discovery_source_local:ND002-004,institution:inst-035,employed_by,confirmed,yes,Luke Muehlhauser / GiveWell,https://intelligence.org/2015/05/06/a-fond-farewell-and-a-new-executive-director/,all,I’m excited to have accepted a research position at GiveWell.,https://intelligence.org/2015/05/06/a-fond-farewell-and-a-new-executive-director/,EMPLOYMENT
discovery_source_local:ND002-004,institution:inst-053,former_executive_director_at,confirmed,yes,Coefficient Giving’s biography says Luke Muehlhauser was Executive Director of MIRI before joining Coefficient Giving.,https://coefficientgiving.org/team/luke-muehlhauser/,all,Historical role; precise tenure not provided. No new person merge; endpoints retain released source-local identities. Statement attributed to archived source; no independent current role verification. Relationship is to the named operating institution or program as stated by the source; the specific,https://coefficientgiving.org/team/luke-muehlhauser/,EMPLOYMENT
discovery_source_local:ND002-004,institution:inst-059,collaborated_with,confirmed,yes,Luke Muehlhauser / Rethink Priorities,https://rethinkpriorities.org/rethink-priorities-2022-impact-2023-strategy-and-funding-gaps/,all,a survey on intermediate goals for AI governance which we co-developed with Luke Muehlhauser of Open Phil,https://rethinkpriorities.org/rethink-priorities-2022-impact-2023-strategy-and-funding-gaps/,COLLAB
discovery_source_local:ND002-004,institution:inst-073,collaborated_with,confirmed,yes,Luke Muehlhauser / Future of Humanity Institute,https://intelligence.org/2013/09/10/september-newsletter/,all,Yudkowsky and I are visiting Oxford to “sync up” with our frequent collaborators at the Future of Humanity Institute,https://intelligence.org/2013/09/10/september-newsletter/,COLLAB
discovery_source_local:ND002-004,institution:inst-081,employed_by,confirmed,yes,Luke Muehlhauser / Open Philanthropy,https://rethinkpriorities.org/rethink-priorities-2022-impact-2023-strategy-and-funding-gaps/index.html,all,we co-developed with Luke Muehlhauser of Open Philanthropy,https://rethinkpriorities.org/rethink-priorities-2022-impact-2023-strategy-and-funding-gaps/index.html,EMPLOYMENT
discovery_source_local:ND002-004,institution_candidate_source_local:INSTITUTION008-001,author_on,confirmed,yes,Luke Muehlhauser / LessWrong,https://www.lesswrong.com/posts/yGZHQYqWkLMbXy3z7/video-q-and-a-with-singularity-institute-executive-director,all,"I’m Luke Muehlhauser, the new Executive Director of Singularity Institute.",https://www.lesswrong.com/posts/yGZHQYqWkLMbXy3z7/video-q-and-a-with-singularity-institute-executive-director,COLLAB
discovery_source_local:ND002-004,institution_candidate_source_local:INSTITUTION008-011,contributed_content_to,confirmed,yes,Luke Muehlhauser / EA Forum,https://forum.effectivealtruism.org/posts/sxukPJiS5ZnWDX5E3/hi-i-m-luke-muehlhauser-ama-about-open-philanthropy-s-new,all,"Hi EA Forum, I'm Luke Muehlhauser and I'm here to answer your questions and respond to your feedback",https://forum.effectivealtruism.org/posts/sxukPJiS5ZnWDX5E3/hi-i-m-luke-muehlhauser-ama-about-open-philanthropy-s-new,FINANCIAL
discovery_source_local:ND002-005,discovery_source_local:ND002-007,coauthored_with,confirmed,yes,Richard Ngo / Daniel Kokotajlo,https://aclanthology.org/anthology-files/pdf/findings/2024.findings-acl.821.pdf,all,"Matt Knight, Daniel Kokotajlo, Łukasz Kondraciuk, Andrew Kondrich, Aris Konstantinidis, Kyle Kosic, Gretchen Krueger, Vishal Kuo, Michael Lampe, Ikai Lan, Teddy Lee, Jan Leike, Jade Leung, Daniel Levy, Chak Ming Li, Rachel Lim, Molly Lin, Stephanie Lin, Mateusz Litwin, Theresa Lopez, Ryan Lowe, Patr",https://aclanthology.org/anthology-files/pdf/findings/2024.findings-acl.821.pdf,COLLAB
discovery_source_local:ND002-005,discovery_source_local:ND002-026,consultant_to,confirmed,yes,Richard Ngo / AI Futures Project,https://www.mindthefuture.info/p/selective-optimism-a-critique-of,all,I’ve been working part-time as a consultant for the AI Futures Project over the last year.,https://www.mindthefuture.info/p/selective-optimism-a-critique-of,EMPLOYMENT
discovery_source_local:ND002-005,institution:inst-005,funded,confirmed,yes,Richard Ngo / Apart Research,https://manifund.org/projects/keep-apart-research-going-global-ai-safety-research--talent-pipeline,all,Richard Ngo donated $100K,https://manifund.org/projects/keep-apart-research-going-global-ai-safety-research--talent-pipeline,FINANCIAL
discovery_source_local:ND002-005,institution:inst-048,donated_to,confirmed,yes,Richard Ngo / Lightcone Infrastructure,https://www.greaterwrong.com/posts/FuGfR3jL3sw6r8kB4/richard-ngo-s-shortform,all,"Richard Ngo listed a $100,000 donation to Lightcone among his 2025 donations; he said it was partly matched by the Survival and Flourishing Fund.",https://www.greaterwrong.com/posts/FuGfR3jL3sw6r8kB4/richard-ngo-s-shortform,FINANCIAL
discovery_source_local:ND002-005,institution:inst-050,public_regrantor_budget_roster,confirmed,yes,Public Regrantor Budget Roster,https://manifund.org/about/regranting,all,Richard Ngo $125K budget · 3 grants,https://manifund.org/about/regranting https://manifund.org/about/regranting-data https://manifund.org/about/regranting https://manifund.org/about/regranting-data,FINANCIAL
discovery_source_local:ND002-005,institution:inst-050,publicly listed by Manifund as a regrantor with a $125K budget,confirmed,yes,Richard Ngo was publicly listed by Manifund as a regrantor with a $125K budget.,https://manifund.org/about/regranting-data,all,"Recommendation discretion was subject to Manifund review and approval. Manifund’s listing does not establish Richard Ngo’s employment by, legal relationship with, control of, or current role at Manifund. Do not add the separately displayed $120K deployed figure or individual grant rows to the $125K",https://manifund.org/about/regranting-data,FINANCIAL
discovery_source_local:ND002-005,institution:inst-051,mentor_to,confirmed,yes,Richard Ngo / MATS Research,https://www.matsprogram.org/mentor/ngo,all,# Richard Ngo Independent — Researcher,https://www.matsprogram.org/mentor/ngo,COLLAB
discovery_source_local:ND002-005,institution:inst-058,provided_feedback_to,confirmed,yes,Richard Ngo / Redwood Research,https://www.redwoodresearch.org/blog/how-training-gamers-might-function,all,"Thanks to Alex Mallen, Arun Jose, Ryan Greenblatt, Buck Shlegeris, and Richard Ngo for feedback.",https://www.redwoodresearch.org/blog/how-training-gamers-might-function,COLLAB
discovery_source_local:ND002-005,institution:inst-069,former_researcher,confirmed,yes,Former Researcher,https://manifund.org/Richard,all,"I previously worked on the alignment team at DeepMind, and on the governance team at OpenAI. I'm currently an independent researcher",https://manifund.org/Richard https://www.matsprogram.org/mentor/ngo https://manifund.org/Richard https://www.matsprogram.org/mentor/ngo,EMPLOYMENT
discovery_source_local:ND002-005,institution:inst-069,formerly_had_role_at,confirmed,yes,Richard Ngo previously worked on OpenAI's governance team.,https://www.matsprogram.org/mentor/ngo,all,Self-described statement in the selected Richard Ngo MATS profile. The source states prior work and does not establish dates or current employment at OpenAI. Identity is limited to the selected named source; no same-name identity merge is inferred. Named institutional endpoint reconciled to the alre,https://www.matsprogram.org/mentor/ngo,EMPLOYMENT
discovery_source_local:ND002-005,institution:inst-071,employed_by,confirmed,yes,Richard Ngo / Google DeepMind,https://www.matsprogram.org/mentor/ngo,all,I previously worked on the alignment team at DeepMind,https://www.matsprogram.org/mentor/ngo,EMPLOYMENT
discovery_source_local:ND002-005,institution:inst-075,funded_by,confirmed,yes,Richard Ngo / Long-Term Future Fund,https://funds.effectivealtruism.org/payouts/november-2020-long-term-future-fund-grants,all,"An up-to-$150,000 grant to Richard Ngo to do a PhD at Cambridge University",https://funds.effectivealtruism.org/payouts/november-2020-long-term-future-fund-grants,FINANCIAL
discovery_source_local:ND002-005,institution_candidate_source_local:INSTITUTION008-001,contributed_to,confirmed,yes,Richard Ngo / LessWrong,https://www.lesswrong.com/posts/aEZgw6rHssGRqnRFa/the-future-of-science,all,# The Future of Science by Richard_Ngo,https://www.lesswrong.com/posts/aEZgw6rHssGRqnRFa/the-future-of-science,COLLAB
discovery_source_local:ND002-005,person_source_local:apollo-research:APO-P001,provided_feedback_to,confirmed,yes,Richard Ngo / Marius Hobbhahn,https://www.lesswrong.com/posts/oqzasmQ9Lye45QDMZ/causality-transformative-ai-and-alignment-part-i,all,MH would like Richard Ngo for encouragement and feedback.,https://www.lesswrong.com/posts/oqzasmQ9Lye45QDMZ/causality-transformative-ai-and-alignment-part-i,COLLAB
discovery_source_local:ND002-005,person_source_local:center-for-ai-safety:CAIS-P001,collaborated_on,confirmed,yes,Richard Ngo / Dan Hendrycks,https://www.alignmentforum.org/posts/3onCb5ph3ywLQZMX2/alignment-newsletter-one-year-retrospective,all,"Richard Ngo volunteered to contribute summaries to the newsletter on a variety of topics, and Dan Hendrycks joined soon after focusing on robustness and uncertainty.",https://www.alignmentforum.org/posts/3onCb5ph3ywLQZMX2/alignment-newsletter-one-year-retrospective,COLLAB
discovery_source_local:ND002-005,person_source_local:far-ai:FA-P055,coauthored_with,confirmed,yes,Richard Ngo / Lawrence Chan,https://mlanthology.org/iclr/2024/ngo2024iclr-alignment/,all,"Richard Ngo, Lawrence Chan, Sören Mindermann",https://mlanthology.org/iclr/2024/ngo2024iclr-alignment/,COLLAB
discovery_source_local:ND002-005,person_source_local:future-of-life-institute:FLI-P003,co_authored_with,confirmed,yes,Richard Ngo / Jaan Tallinn,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/73FAF1A3178EDA47FA0EE7452336D7A8/9781009207867c2_19-30.pdf/automating_supervision_of_ai_delegates.pdf,all,Automating Supervision of AI Delegates Jaan Tallinn and Richard Ngo,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/73FAF1A3178EDA47FA0EE7452336D7A8/9781009207867c2_19-30.pdf/automating_supervision_of_ai_delegates.pdf,COLLAB
discovery_source_local:ND002-006,discovery_source_local:ND005-002,employed_by,confirmed,yes,Robert Trager / University of Oxford,https://futureoflife.org/ai-safety-index-summer-2026/index.html,all,Robert F. Trager is ... Senior Researcher in the Department of Engineering Science at the University of Oxford.,https://futureoflife.org/ai-safety-index-summer-2026/index.html,EMPLOYMENT
discovery_source_local:ND002-006,institution:inst-011,contractor_to,confirmed,yes,Robert Trager / Berkeley Existential Risk Initiative,https://apps.irs.gov/pub/epostcard/cor/814820272_202112_990_2023013120857980.pdf,all,Name and business address Description of services Compensation Robert Trager Research,https://apps.irs.gov/pub/epostcard/cor/814820272_202112_990_2023013120857980.pdf,EMPLOYMENT
discovery_source_local:ND002-006,institution:inst-041,international_governance_lead_at,confirmed,yes,GovAI’s team page lists Robert Trager as International Governance Lead.,https://www.governance.ai/people,all,"Source-listed role only; no legal employer or current tenure inferred. Source-local accepted person identity only; no person merge, ideology, control, paid funding, or current role continuity inferred. Statement attributed to supplied source; no independent current role verification. Relationship is",https://www.governance.ai/people,GOVERNANCE
discovery_source_local:ND002-006,institution:inst-075,funded_by,confirmed,yes,Robert Trager / Long-Term Future Fund,,all,2 years of GovAI salary and overheads for Robert Trager,,FINANCIAL
discovery_source_local:ND002-007,discovery_source_local:ND002-026,executive_director_of,confirmed,yes,Daniel Kokotajlo / AI Futures Project,https://www.aifutures.org/about,all,Daniel Kokotajlo Executive Director Daniel oversees our work.,https://www.aifutures.org/about,GOVERNANCE
discovery_source_local:ND002-007,discovery_source_local:ND004-001,collaborated_with,confirmed,yes,Daniel Kokotajlo / Thomas Larsen,https://ai-2027.com/about,all,"Daniel Kokotajlo, Eli Lifland, Thomas Larsen, and Romeo Dean wrote the content of the scenario and endings.",https://ai-2027.com/about,COLLAB
discovery_source_local:ND002-007,institution:inst-006,mission_director_at,confirmed,yes,"Apollo Research’s PBC-transition announcement names Daniel Kokotajlo as its first mission director, a designated board role with a mandate to prioritize the mission.",https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,all,"Scoped to announced Apollo Research PBC board role; no prior nonprofit board role, control or term dates inferred. Source-local accepted person identity only; no person merge, ideology, control, paid funding, or current role continuity inferred. Statement attributed to archived source; no independen",https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,EMPLOYMENT
discovery_source_local:ND002-007,institution:inst-066,leads_sff_funded_organization,confirmed,yes,Daniel Kokotajlo / Survival and Flourishing Fund,https://www.aifutures.org/about,all,Our funding comes primarily from the Survival and Flourishing Fund... Daniel Kokotajlo Executive Director,https://www.aifutures.org/about,FINANCIAL
discovery_source_local:ND002-007,institution:inst-069,employed_by,confirmed,yes,Daniel Kokotajlo / OpenAI,https://time.com/collections/time100-ai-2024/7012881/daniel-kokotajlo/,all,"In 2022, Daniel Kokotajlo joined OpenAI as a governance researcher.",https://time.com/collections/time100-ai-2024/7012881/daniel-kokotajlo/,EMPLOYMENT
discovery_source_local:ND002-007,institution:inst-070,provided_feedback_to,confirmed,yes,Daniel Kokotajlo / Anthropic,https://www.anthropic.com/constitution,all,External commenters who gave detailed feedback or discussion on the document include: ... Daniel Kokotajlo ...,https://www.anthropic.com/constitution,COLLAB
discovery_source_local:ND002-007,institution:inst-075,funded_by,confirmed,yes,Daniel Kokotajlo / Long-Term Future Fund,https://www.lesswrong.com/posts/JjLExgd7YKEFf4M4D/long-term-future-fund-april-2023-grant-recommendations,all,"Daniel Kokotajlo ($10,000): Funding for a research retreat on a decision-theory/cause-prioritisation topic.",https://www.lesswrong.com/posts/JjLExgd7YKEFf4M4D/long-term-future-fund-april-2023-grant-recommendations,FINANCIAL
discovery_source_local:ND002-007,institution_candidate_source_local:INSTITUTION006-004,advisor_to,confirmed,yes,Daniel Kokotajlo / Sage,https://sage-future.org/,all,Daniel Kokotajlo – Advisor on AI Village.,https://sage-future.org/,GOVERNANCE
discovery_source_local:ND002-007,institution_candidate_source_local:INSTITUTION008-001,published_on,confirmed,yes,Daniel Kokotajlo / LessWrong,https://www.lesswrong.com/posts/6Xgy6CAf2jqHhynHL/what-2026-looks-like,all,# What 2026 looks like by Daniel Kokotajlo,https://www.lesswrong.com/posts/6Xgy6CAf2jqHhynHL/what-2026-looks-like,COLLAB
discovery_source_local:ND002-007,institution_candidate_source_local:INSTITUTION008-011,published_on,confirmed,yes,Daniel Kokotajlo / EA Forum,https://www.lesswrong.com/posts/ygoyoBZPZQEeKE3gh/incentivizing-forecasting-via-social-media,all,Daniel Kokotajlo and I published a post on Incentivizing forecasting via social media on the EA Forum,https://www.lesswrong.com/posts/ygoyoBZPZQEeKE3gh/incentivizing-forecasting-via-social-media,COLLAB
discovery_source_local:ND002-007,institution_candidate_source_local:INSTITUTION015-001,advisor_to,confirmed,yes,Daniel Kokotajlo / AI Village,https://manifund.org/projects/ai-digest,all,Daniel Kokotajlo – Advisor on AI Village.,https://manifund.org/projects/ai-digest,GOVERNANCE
discovery_source_local:ND002-007,institution_candidate_source_local:NODE017-001,coauthored_with,confirmed,yes,Daniel Kokotajlo / Yoshua Bengio,https://arxiv.org/abs/2305.15324,all,"Authors: Toby Shevlane, Sebastian Farquhar, Ben Garfinkel, Mary Phuong, Jess Whittlestone, Jade Leung, Daniel Kokotajlo, ... Yoshua Bengio, Paul Christiano, Allan Dafoe",https://arxiv.org/abs/2305.15324,COLLAB
discovery_source_local:ND002-007,person_source_local:apollo-research:APO-P001,board_member_of_company_led_by,confirmed,yes,Daniel Kokotajlo / Marius Hobbhahn,https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,all,"Marius, our CEO... Our first mission director is Daniel Kokotajlo.",https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc,GOVERNANCE
