id,label,kind,layer,ideology,magnitude,ein,source_url,notes,logo,country,slices,n_slices,communities,community_primary
institution:inst-008,Astralis Foundation,org,org,,5,,https://astralisfoundation.org/our-people,"Astralis Foundation describes itself as an AI-focused philanthropic organization that unites funders, experts, and entrepreneurs to fund and support interventions intended to steer transformative AI toward beneficial outcomes. Its website identifies initial focus areas including West–Asia bridge-building, global AI governance, European AI safety and progress, and communication on AI risks and oppo",institution:inst-008,,all,1,fund,fund
institution:inst-009,Atlas Fellowship,project,project,,6,,https://www.atlasfellowship.org/,"Atlas Fellowship was a student fellowship program founded in 2022 out of the earlier Uncommon Sense program. Its About page describes programs intended to help exceptional students practice careful reasoning and apply analytical tools to challenges including global poverty, existential risks, advanced-AI risks, and economic-institution reform. A November 2023 update in the existing node record sta",institution:inst-009,,all,1,,
institution:inst-011,Berkeley Existential Risk Initiative,org,org,,28,81-4820272,https://existence.org/transparency-doc,"Berkeley Existential Risk Initiative (BERI) is described on its transparency page as an independent 501(c)(3) public charity founded in 2017. The page provides governance documents and links to annual reports, IRS Form 990 filings, and financial statements describing its financial position, activities, and cash flows.",institution:inst-011,,all,1,safety|fund,safety
institution:inst-012,Bipartisan Commission on Biodefense,project,project,,1,,https://biodefensecommission.org/commission-welcomes-new-analysis-of-biodefense-spending-that-will-help-inform-future-investments/,"The Bipartisan Commission on Biodefense is a source-local biodefense policy commission that, on its homepage, says it recommends and promotes changes to U.S. policy and law to strengthen national biodefense and optimize resources. The homepage also states that the Commission will join the Atlantic Council as an initiative within its Scowcroft Center for Strategy and Security.",institution:inst-012,,all,1,,
institution:inst-013,BlueDot Impact,org,org,,3,,https://bluedot.org/about,"BlueDot Impact is an organization whose about page describes training people in AI safety, governance, and biosecurity, alongside grants intended to support career transitions and help exceptional people pursue impactful roles or start organizations. Its stated history traces the work from reading groups at the University of Cambridge in 2021 to BlueDot Impact’s founding and first AI-safety course",institution:inst-013,,all,1,safety|ea,safety
institution:inst-014,CarbonPlan,org,org,,3,,https://files.carbonplan.org/CarbonPlan-Annual-Report-2021.pdf,"CarbonPlan is a California registered nonprofit public benefit corporation with 501(c)(3) status. On its undated About page, it describes analyzing climate solutions using science and data, with work focused on carbon offsets, carbon removal, and climate risks; it also describes research, policy collaboration, and open software tools intended to support scientifically rigorous and transparent clim",institution:inst-014,,all,1,ea,ea
person_source_local:good-ventures:GV-P001,Cari Tuna,person,person,,12,,https://coefficientgiving.org/team/cari-tuna/,"Cari Tuna is a philanthropist and former Wall Street Journal reporter. In Coefficient Giving’s undated team biography, she is described as co-founder and Chair of Good Ventures, which she created with Dustin Moskovitz in 2011, and as Chair of Coefficient Giving, an adviser to major donors on maximizing impact. The biography also says she serves on GiveWell’s board.",person_source_local:good-ventures:GV-P001,,all,1,ea|safety|fund,ea
institution:inst-015,Center for AI Safety,org,org,,11,,https://safe.ai/terms-of-service,"On its About Us page, the Center for AI Safety (CAIS) describes itself as an AI-safety nonprofit working to reduce societal-scale risks from artificial intelligence through research, field-building, and advocacy. The page describes research on AI safety, funding and infrastructure for the research field, educational and fellowship activities, and advice to policymakers, industry leaders, and other",institution:inst-015,,all,1,safety|gov,safety
institution:inst-016,Center for Security and Emerging Technology,org,org,,12,,https://cset.georgetown.edu/staff/kendrea-beers/,"On its About Us page, the Center for Security and Emerging Technology (CSET) describes itself as a policy research organization within Georgetown University’s Walsh School of Foreign Service that provides decision-makers with data-driven analysis of the security implications of emerging technologies. The page says its work focuses on AI, advanced computing, and biotechnology; includes research pub",institution:inst-016,,all,1,gov,gov
institution:inst-017,Centre for Effective Altruism,project,project,,40,47-1988398,https://www.centreforeffectivealtruism.org/blog/ceas-work-in-2022,"The Centre for Effective Altruism supports the effective altruism community through learning, discussion, and connections for people working on pressing global problems. CEA historically operated under Effective Ventures, and EA Funds became part of CEA in mid-2025; the exact end of CEA’s EV fiscal sponsorship is not established by the archived records.",institution:inst-017,,all,1,ea|gov|safety|fund|rat,ea
institution:inst-018,Centre for Long-Term Resilience,org,org,,6,,https://www.longtermresilience.org/\nFrontiers,Policy institution working on extreme-risk resilience.,institution:inst-018,,all,1,gov,gov
institution:inst-019,Coefficient Giving,project,project,,40,,https://coefficientgiving.org/our-history/,"On its undated About Us page, Coefficient Giving describes itself as a philanthropic funder and advisor that works with donors on cost-effective, high-impact giving, providing research, strategic guidance, and operational support.",institution:inst-019,,all,1,fund|safety|gov|ea,fund
institution:inst-020,Constellation Institute,org,org,,2,,https://constellation.org/,"Constellation Institute describes itself as a non-profit working to ensure transformative AI is developed, deployed, and governed safely. In this undated source page, it says it reduces advanced-AI risks through talent mobilization, incubation, organizational growth, and convening; it also says it runs an independent research center in Berkeley, California for researchers, forecasters, and operato",institution:inst-020,,all,1,safety,safety
institution:inst-021,Convergence Analysis,org,org,,9,,https://www.convergenceanalysis.org/,"Convergence Analysis describes itself as a research institution developing and promoting insights to minimize existential risk from AI. Its About Us page says it studies AI trajectories and governance strategies, and asks how to raise awareness of governance strategies among the AI safety community, policymakers, and the public. It traces its origins to a 2017–2021 research collaboration and says ",institution:inst-021,,all,1,safety,safety
person_source_local:good-ventures:GV-P002,Dustin Moskovitz,person,person,,10,,https://goodventures.org/governance/,Dustin Moskovitz is an Asana co-founder. Asana’s leadership page describes him as a board member since December 2008 and board chair since December 2019; it states that he previously served as Asana’s CEO from October 2010 to July 2025 and president from December 2019 to July 2025. The page also says he co-founded Meta Platforms (then Facebook) and served there as its first CTO and VP of Engineeri,person_source_local:good-ventures:GV-P002,,all,1,safety|fund,safety
institution:inst-022,EA Funds,project,project,,40,47-1988398,https://funds.effectivealtruism.org/faq,"EA Funds is a grantmaking platform that uses subject-matter experts to recommend support for projects it considers cost-effective and impactful. Created by CEA, it completed its spinout from Effective Ventures and became part of CEA in mid-2025, according to later first-party updates.",institution:inst-022,,all,1,fund|ea,fund
institution:inst-074,EA Infrastructure Fund,project,project,,28,,https://funds.effectivealtruism.org/payouts/march-2024-ea-infrastructure-fund-grant-recommendations,"The EA Infrastructure Fund is an EA Funds-listed grantmaking fund. Its undated page says it recommends grants intended to improve projects using effective-altruism principles by expanding access to talent, capital, and knowledge; it also says the fund was formerly called the Effective Altruism Meta Fund. The page describes a historical effort to make strategic grants to incubate and grow projects ",institution:inst-074,,all,1,fund|ea|safety,fund
institution:inst-023,Effective Institutions Project,project,project,,7,,https://projects.propublica.org/nonprofits/full_text/202533199349302743/IRS990,"The Effective Institutions Project is a project whose website describes helping donors address major global challenges and invites them to navigate an accelerating technological and geopolitical transition. The site presents its areas of expertise as governance of transformative AI, institutional resilience and accountability, reducing risks from great-power conflict, and pandemic protection.",institution:inst-023,,all,1,gov,gov
institution:inst-024,Effective Ventures,project,project,,40,47-1988398,https://ev.org/annual-reports/,Umbrella operating name spanning separately identified UK and US charities.,institution:inst-024,,all,1,fund|ea|safety|gov|rat,fund
institution:inst-079,Effective Ventures Foundation (UK),org,org,,24,47-1988398,https://www.gov.uk/government/publications/charity-inquiry-effective-ventures-foundation-uk/charity-inquiry-effective-ventures-foundation-uk,"Effective Ventures Foundation (UK) is described on its organizational webpage as a registered charity in England and Wales and a Netherlands-registered tax-deductible entity. The page says the EV UK Board is responsible for the organization’s overall management and oversight, and identifies Rob Gledhill as CEO of EV UK; it also describes the Centre for Effective Altruism as a joint project of EV U",institution:inst-079,,all,1,ea|fund,ea
institution:inst-080,Effective Ventures Foundation USA Inc.,org,org,,14,47-1988398,https://ev.org/wp-content/uploads/2026/06/Effective-Ventures-Foundation-2024-Public-Disclosure-Copy-Website-version.pdf,"Effective Ventures Foundation USA, Inc. is identified on its undated Effective Ventures webpage as a US section 501(c)(3) tax-exempt organization (EIN 47-1988398). The page states that the EV US Board has overall management and oversight responsibility and lists Zach Robinson as CEO of EV US.",institution:inst-080,,all,1,ea|fund,ea
institution:inst-025,Elicit,project,project,,3,,https://elicit.com/operations/privacy,"Elicit is an AI research assistant whose homepage describes tools for searching academic literature, generating cited research reports, and supporting systematic-review workflows. The undated homepage also describes a research agent that gathers evidence from scientific databases, journals, public data sources, and uploaded documents to create cited research artifacts.",institution:inst-025,,all,1,safety,safety
person_source_local:miri:MIRI-P003,Eliezer Yudkowsky,person,person,,12,,https://intelligence.org/team/,"MIRI describes Eliezer Yudkowsky as a founding researcher in AI alignment and a co-founder of the Machine Intelligence Research Institute. The institute credits his work over more than twenty years with helping shape MIRI’s technical research agenda and that of other research centers, and with introducing AI extinction risk to mainstream audiences. Its biography also notes his 2023 inclusion in TI",person_source_local:miri:MIRI-P003,,all,1,safety|rat|gov|ea,safety
institution:inst-026,Epoch AI,org,org,,24,,https://epoch.ai/,"Epoch AI describes itself as a data-first research nonprofit investigating the future and trajectory of artificial intelligence. Its stated work examines drivers and bottlenecks of AI progress, tracks AI-system capabilities, and develops data and models on AI’s economic and societal impacts; it also offers commissioned research, model evaluations, and consultations to companies, nonprofits, and go",institution:inst-026,,all,1,safety|gov,safety
institution:inst-027,FAR.AI,org,org,,13,,https://www.far.ai/about,"On its About page, FAR.AI describes itself as an AI security research and adoption non-profit focused on making advanced AI trustworthy, secure and beneficial. It says it develops technical safety solutions, supports field-building through convenings and grantmaking, validates ideas through applied research, and seeks adoption through testing, consulting, government capacity building and public sa",institution:inst-027,,all,1,safety,safety
institution:inst-028,Foresight Institute,org,org,,4,,https://foresight.org/engage/fundraising/,"Foresight Institute describes itself as a research organization founded in 1986 by Christine Peterson and Eric Drexler. Its about page says it advances science and technology “for the benefit of life” through grants, events, prizes, and fellowships, across focus areas including secure AI, neurotechnology, longevity, biotechnology, nanotechnology, space, and existential hope.",institution:inst-028,,all,1,safety,safety
institution:inst-029,Forethought,org,org,,31,,https://80000hours.org/about/credibility/research-principles/,"Forethought Research describes itself as an Oxford-based non-profit company researching how to navigate a transition to superintelligent AI systems. Its work focuses on challenges associated with potentially better-than-human AI and on paths toward flourishing futures; it shares research with AI think tanks, companies, policymakers focused on transformative AI, and the public.",institution:inst-029,,all,1,safety|ea,safety
institution:inst-030,Founders Pledge,org,org,,38,,https://www.founderspledge.com/who-we-are,"Founders Pledge is a philanthropic advisory and donor-engagement organization. On its “Who we are” page, it says it advises, facilitates, and seeks to maximize the impact of members’ charitable giving; it launched out of Founders Forum in 2015 and operates globally through registered nonprofits in the United States, United Kingdom, and Germany.",institution:inst-030,,all,1,ea|fund,ea
institution:inst-031,Frame Fellowship,project,project,,5,,https://framefellowship.com,"Frame Fellowship is described on its manifesto page as a San Francisco-based 10-week residential accelerator for content creators working on AI and its societal impact. The page says it supports fellows by helping amplify their reach, connecting them with funding and partnership opportunities, and positioning them as voices on AI.",institution:inst-031,,all,1,,
institution:inst-032,FTX Future Fund,project,project,,40,,https://web.archive.org/web/20221128205419/https://ftxfuturefund.org/announcing-the-future-fund/,"According to the Future Fund's launch announcement (archived), it was a project of the FTX Foundation making grants to nonprofits and individuals and investments in socially impactful companies. The announcement said it was funded primarily by Sam Bankman-Fried, with contributions from Caroline Ellison, Gary Wang, and Nishad Singh. The fund shut down in November 2022 amid FTX's collapse.",institution:inst-032,,all,1,fund|safety|ea|gov|rat,fund
institution:inst-033,Future Matters,org,org,,2,,https://future-matters.org/,"Future Matters describes itself on its About page as a think tank and nonprofit capacity-building hub that serves organizations and individuals with strategies intended to create a safer and more livable world. The page presents work spanning AI and biological-risk governance, climate-protection policy, and strategic partnerships, and states that Future Matters incubates the AI Safety & Ethics Net",institution:inst-033,,all,1,fund,fund
institution:inst-073,Future of Humanity Institute,org,org,,33,,https://80000hours.org/about/meet-the-team/,Institution named as a former workplace of Greg Lewis; Oxford academic-center identity and operating dates are not established by this passage.,institution:inst-073,,all,1,ea|safety|gov,ea
institution:inst-034,Future of Life Institute,org,org,,23,,https://futureoflife.org/wp-content/uploads/2026/05/FLI-2024-Annual-Report.pdf,"The Future of Life Institute is an organization founded in May 2014, according to its history page. That page describes work spanning AI safety and governance, autonomous weapons, nuclear-risk communications, conferences and open letters, and grant programmes; it also records a 2024 Futures program intended to guide transformative technologies toward beneficial outcomes.",institution:inst-034,,all,1,gov|safety,gov
institution:inst-035,GiveWell,project,project,,36,,https://www.givewell.org/,"As stated on its November 2025 mission-and-values page, GiveWell (also called The Clear Fund) is a tax-exempt 501(c)(3) public charity founded in 2007. It describes its work as researching cost-effective ways to save and improve lives, openly sharing its analysis, and directing donations to programs it believes will do the most good.",institution:inst-035,,all,1,ea|safety|fund|gov|rat,ea
institution:inst-036,Giving Green,project,project,,9,,https://cdn.prod.website-files.com/686d65ad3e40d1dc7eb801b4/69c42c0ffde3f7081aba003f_2025%20Giving%20Green%20Annual%20Report.pdf,"Giving Green is a climate-philanthropy research and guidance organization launched by Dan Stein in 2019 with support from IDinsight. On its about page, it describes evaluating high-impact climate solutions, publishing guidance for donors, operating a Giving Green Fund, maintaining a list of Top Climate Nonprofits, and offering custom climate consulting services.",institution:inst-036,,all,1,fund|ea,fund
institution:inst-037,Giving What We Can,project,project,,40,93-3629215,https://www.givingwhatwecan.org/effective-altruism-effective-giving/community-building,"Giving What We Can describes itself as a global resource hub and community focused on effective, evidence-based giving. Its about-us page says it provides charity research, public giving pledges, education and outreach, and a donation platform; it was founded in 2009 by Toby Ord and Will MacAskill, with Bernadette Young also participating in its launch. The page identifies collaborating UK and US ",institution:inst-037,,all,1,fund|ea|gov|safety,fund
institution:inst-038,Global Priorities Institute,org,org,,10,,https://www.globalprioritiesinstitute.org/,"The Global Priorities Institute (GPI) was an interdisciplinary research institute at the University of Oxford from 2018 until it closed at the end of July 2025. It conducted and disseminated research in philosophy, economics, and psychology on unresolved questions relevant to doing good impartially, while seeking to increase academic engagement with those questions.",institution:inst-038,,all,1,ea,ea
institution:inst-040,Good Ventures Foundation,org,org,,11,,https://goodventures.org/governance/,"Good Ventures describes itself as a philanthropic foundation created by Cari Tuna and Dustin Moskovitz. On its website, it states that its mission is to help humanity thrive by accelerating progress, reducing suffering, and mitigating major risks, and that it supports organizations and individuals addressing urgent challenges through philanthropic partnerships.",institution:inst-040,,all,1,fund,fund
institution:inst-071,Google DeepMind,org,org,,23,,https://80000hours.org/about/meet-the-team/,"An archived 80,000 Hours biography describes an AI alignment team at Google DeepMind; its November 2025 Gemini 3 Pro report describes cybersecurity evaluations by its Cybersecurity team.",institution:inst-071,,all,1,safety,safety
institution:inst-041,GovAI,org,org,,28,99-4000294,https://www.governance.ai/team/alan-chan,"GovAI is a think tank that, on its About Us page, says it helps government and industry decision-makers navigate advanced AI through research, bespoke analysis, fellowships, visitor programs, and other AI-governance talent initiatives. It describes a history beginning at Yale University in 2016, becoming an academic center at the University of Oxford in 2018, and leaving Oxford in 2021 to become a",institution:inst-041,,all,1,gov,gov
institution:inst-042,Greater Horizons,org,org,,2,,https://www.greaterhorizons.org/documents/Donor-Advised-Fund-Agreement.pdf,"Greater Horizons is a provider of charitable solutions created in 2004 by the Greater Kansas City Community Foundation to serve people using the foundation’s products and services under a national entity. In its About Us page, it describes providing donor-advised funds and charitable tools, research and guidance on charitable giving, and support to donors and their advisors in developing philanthr",institution:inst-042,,all,1,fund,fund
institution:inst-043,Guarding Against Pandemics,org,org,,1,,https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2022/12/19/Guarding_Against_Pandemics_2021.pdf,Historical biosecurity advocacy nonprofit; distinct political accounts remain unmerged.,institution:inst-043,,all,1,ea|gov,ea
institution:inst-044,High Tide Foundation,org,org,,2,,https://climatecommunication.yale.edu/about/people-partners/overlook-international-foundation/,Foundation operating name described as supporting organizations that educate about global warming or act to reduce CO2 emissions; private-foundation status is not established.,institution:inst-044,,all,1,fund,fund
person_source_local:coefficient-giving:CG-PE042,Holden Karnofsky,person,person,,36,,https://metr.org/team/holden-karnofsky/,"Holden Karnofsky is a former unpaid advisor to METR. In METR’s biography, he is described as having previously co-founded and run GiveWell and Open Philanthropy, organizations dedicated to effective charitable giving, and as having served as Director of AI Strategy at Open Philanthropy. The page also attributes to him a November 2024 RE-Bench article on evaluating frontier AI R&D capabilities of l",person_source_local:coefficient-giving:CG-PE042,,all,1,safety|ea,safety
institution:inst-045,Horizon Institute for Public Service,org,org,,7,,https://horizonpublicservice.org/ai-innovation-security-policy-workshop/,"On its About Us page, the Horizon Institute for Public Service describes itself as a non-partisan, non-profit organization supporting emerging-technology policy talent for US public service. It says it matches policy institutions’ demand for technical talent with technologists interested in public service, providing career-transition support through programs for people ranging from prospective int",institution:inst-045,,all,1,gov,gov
institution:inst-046,Impact Ops,project,project,,7,,https://impact-ops.org\nand,"Impact Ops is an operations-services organization that, on its undated About page, says it helps high-impact projects scale through specialist finance, recruitment, entity-setup, due-diligence, systems, and operations services. The page states that its mission is to empower high-impact projects to scale and flourish, and identifies Joshua Axford and Andrew Leeke as co-founders.",institution:inst-046,,all,1,safety|gov|ea,safety
institution:inst-047,Institute for AI Policy and Strategy,org,org,,14,32-0839313,https://www.iaps.ai/zoe-williams,"The Institute for AI Policy and Strategy (IAPS) describes itself as a nonpartisan think tank producing policy research on AI’s implications, including for national security and geopolitics. On its undated website, it describes work on frontier security, AI-compute policy, and international strategy, alongside policy-talent development and insights for government, industry, academia, and civil-soci",institution:inst-047,,all,1,gov,gov
person_source_local:future-of-life-institute:FLI-P003,Jaan Tallinn,person,person,,40,,https://futureoflife.org/about-us/finances,"The Future of Life Institute lists Jaan Tallinn as a member of its Board of Directors. In its biography, it describes him as a founding engineer of Skype and Kazaa, a co-founder of the Cambridge Centre for the Study of Existential Risk and the Future of Life Institute, and a philanthropic supporter of organizations addressing existential and catastrophic risk. The same undated profile describes ad",person_source_local:future-of-life-institute:FLI-P003,,all,1,safety|gov|ea|fund|rat,safety
institution:inst-048,Lightcone Infrastructure,org,org,,30,92-0861538,https://projects.propublica.org/nonprofits/full_text/202611709349300926/IRS990,"According to its website, Lightcone Infrastructure builds technology, infrastructure, and community for people it describes as helping humanity navigate a crucial century. The site lists LessWrong, Lighthaven, Lightcone Commons, Inkhaven, LessOnline, and website design for AI 2027 and AI 2040: Plan A under its Infrastructure, Projects, and Design headings, and identifies the organization as a regi",institution:inst-048,,all,1,rat,rat
institution:inst-075,Long-Term Future Fund,project,project,,40,,https://forum.effectivealtruism.org/posts/ee8Pamunhqabucwjq/long-term-future-fund-ask-us-anything-september-2023,EA Funds subfund focused on the long-term future.,institution:inst-075,,all,1,fund|safety|ea|rat,fund
institution:inst-049,Longview Philanthropy,project,project,,40,93-2664730,https://www.longview.org/about/ben-stewart/,"Longview Philanthropy is a philanthropic advisory and grantmaking operating brand founded by Natalie Cargill in 2018. On its About page, it describes providing free, research-driven advice, donor learning sessions, grant opportunities, and grant recommendations; its grantmaking teams focus on reducing risks from advanced AI, nuclear weapons, and biological threats.",institution:inst-049,,all,1,fund|gov|safety|ea,fund
institution:inst-053,Machine Intelligence Research Institute,org,org,,38,,https://intelligence.org/wp-content/uploads/2025/11/Independent-Auditors-Report-for-2024.pdf,"The Machine Intelligence Research Institute (MIRI) is a Berkeley, California 501(c)(3) nonprofit. On its About page, it describes its work as research and public outreach intended to help prevent human extinction from artificial superintelligence, and recounts a history from its 2000 founding as the Singularity Institute through later AI-alignment research, field-building activities, and communica",institution:inst-053,,all,1,safety|rat,safety
institution:inst-050,Manifund,project,project,,40,88-3668801,https://manifund.org/about,"Manifund, formally “Manifold for Charity,” is a 501(c)(3) public charity that describes itself as an open platform helping charity founders find aligned donors. Its stated funding approaches include hosting public proposals for charitable projects, delegating grant budgets to field-expert regrantors, and running charitable-prize funding rounds.",institution:inst-050,,all,1,fund|safety|gov|rat|ea,fund
institution:inst-051,MATS Research,org,org,,11,99-0648563,https://www.matsprogram.org/transparency,Independent 501(c)(3) public charity (EIN 99-0648563); AI-safety training and research functions are not established by this passage.,institution:inst-051,,all,1,safety,safety
person_source_local:future-of-life-institute:FLI-P002,Max Tegmark,person,person,,5,,https://futureoflife.org/about-us/our-people,"Future of Life Institute’s undated profile describes Max Tegmark as an MIT professor researching AI and physics, including AI-safety work on mechanistic interpretability and guaranteed safe AI, and as an author and serial nonprofit founder. The profile lists him as Founder and Chair of the Future of Life Institute and a member of its Board Members.",person_source_local:future-of-life-institute:FLI-P002,,all,1,ea|rat|safety|gov,ea
institution:inst-052,METR,org,org,,40,,https://metr.org/about,"METR (Model Evaluation and Threat Research) is a research nonprofit that evaluates frontier AI models, particularly their ability to autonomously carry out substantial tasks and associated risks. Its stated mission is to develop scientific methods for assessing catastrophic risks from AI systems’ autonomous capabilities and to support decision-making about their development. The organization also ",institution:inst-052,,all,1,safety,safety
institution:inst-054,Non-Trivial,org,org,,5,,https://www.non-trivial.org/,"Non-Trivial is a youth-focused fellowship and talent-development organization. On its mission page, it describes helping bright young people assess how they can make a meaningful difference through community, interdisciplinary ideas, scholarships, mentorship, and support for impactful research. The page identifies Non-Trivial Ventures as a non-profit organization registered in England and Wales, w",institution:inst-054,,all,1,ea,ea
institution:inst-081,Open Philanthropy,project,project,,40,,https://coefficientgiving.org/research/open-philanthropy-is-now-coefficient-giving/,Historical brand name retained separately and connected only through explicit brand-history evidence.,institution:inst-081,,all,1,fund|ea|safety|gov,fund
institution:inst-069,OpenAI,org,org,,40,,https://openai.com/index/hugging-face-model-evaluation-security-incident/,"In its GPT-4 technical report, OpenAI reports developing a multimodal model that accepts image and text inputs and produces text outputs.",institution:inst-069,,all,1,safety,safety
institution:inst-055,Ought,org,org,,17,,https://ought.org/donate,"Ought’s mission page says its mission is to “scale up good reasoning,” seeking to make machine learning as helpful for thinking and reflection as for tasks with clear short-term outcomes. The page presents broadly accessible cognitive technology as a positive future vision that could help people gather information, consider options, form robust plans, and make more considered decisions together.",institution:inst-055,,all,1,safety,safety
institution:inst-056,Pivotal Research,org,org,,2,,https://www.pivotal-research.org/,"Pivotal Research Ltd is a non-profit company limited by guarantee registered in England and Wales. On its About page, it says it works to understand and reduce global catastrophic risks, particularly from advanced AI and biotechnology, by identifying and enabling talent to work on important questions. It offers an in-person London research fellowship with mentorship in AI safety, AI governance, AI",institution:inst-056,,all,1,safety,safety
institution:inst-077,Project Canary,project,project,,6,,https://projects.propublica.org/nonprofits/full_text/202502559349100000/IRS990PF,Project Canary is identified in a grant record as an artificial-intelligence safety initiative; partners and payment allocation are not established.,institution:inst-077,,all,1,safety,safety
institution:inst-078,Protect Our Future PAC,org,org,,1,,https://docquery.fec.gov/pdf/292/202208169525407292/202208169525407292_000006.pdf,Federal political committee kept distinct from Guarding Against Pandemics and its separately named political account.,institution:inst-078,,all,1,ea|gov,ea
institution:inst-083,"RAND Center on AI, Security, and Technology",project,project,,3,,https://www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology.html,"RAND internal Center on AI, Security, and Technology (RAND CAST), whose research is described as independently initiated and donor-supported; not a separate legal entity.",institution:inst-083,,all,1,gov,gov
institution:inst-057,RAND Corporation,org,org,,27,,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA500/RRA556-1/RAND_RRA556-1.pdf,"RAND Corporation is a nonprofit, nonpartisan research organization. In RAND’s account of its history, it began as Project RAND, created by the U.S. Army Air Forces under contract with Douglas Aircraft Company in 1946, and split from Douglas in 1948 to become an independent nonprofit. The account describes RAND’s work as developing research-based responses to public-policy challenges across nationa",institution:inst-057,,all,1,gov,gov
institution:inst-058,Redwood Research,org,org,,35,,https://www.redwoodresearch.org/research/hugging-face-incident,"Redwood Research describes itself on its website as a registered 501(c)(3) nonprofit conducting AI safety and security research. Its stated work focuses on understanding and mitigating risks from AI systems that may act against developers’ or other human institutions’ interests, including AI control, evaluations of strategic deception, and advice to governments and AI companies on assessing and mi",institution:inst-058,,all,1,safety,safety
institution:inst-059,Rethink Priorities,org,org,,40,84-3896318,https://rethinkpriorities.org/announcing-special-projects/,"On its undated about page, Rethink Priorities describes itself as a think-and-do tank established in 2018 that researches solutions and strategies, mobilizes resources, and uncovers actionable insights across animal welfare, global health and development, global catastrophic risks, artificial intelligence, and other cause areas. The page identifies RP US and RP UK as separate entities working toge",institution:inst-059,,all,1,ea,ea
